,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
0,2019-01-01,621,579,144,204,1100,522,595,396,1523,414,264,203,930
1,2019-01-02,632,630,148,215,1128,486,590,420,1577,460,299,179,986
2,2019-01-03,598,625,127,221,1040,444,541,362,1486,443,296,165,842
3,2019-01-04,591,543,140,199,1015,361,533,345,1423,396,280,160,703
4,2019-01-05,490,444,130,174,896,305,474,280,1437,317,201,148,484
5,2019-01-06,435,355,71,174,646,284,361,216,809,270,183,124,390
6,2019-01-07,654,528,144,238,1048,412,493,328,1412,378,270,164,635
7,2019-01-08,760,576,158,278,1119,444,555,378,1615,423,301,158,700
8,2019-01-09,875,499,156,278,1119,550,606,394,1696,446,326,155,979
9,2019-01-10,856,475,155,260,1070,602,716,401,1599,452,319,163,1188
10,2019-01-11,875,444,155,263,1044,614,661,395,1587,430,337,159,1147
11,2019-01-12,847,461,162,275,1023,521,601,383,1616,455,451,177,948
12,2019-01-13,763,414,158,279,1033,472,567,381,1762,504,405,192,1009
13,2019-01-14,673,409,148,254,1031,462,564,361,1632,454,324,166,921
14,2019-01-15,745,465,157,262,1107,566,545,386,1745,518,337,173,1055
15,2019-01-16,755,485,151,253,1075,555,559,371,1712,468,331,166,874
16,2019-01-17,741,524,151,254,1066,448,544,408,1701,483,324,157,968
17,2019-01-18,662,455,122,238,1025,387,463,308,1448,390,331,162,634
18,2019-01-19,759,448,159,250,1034,471,533,363,1636,444,383,173,744
19,2019-01-20,797,468,158,254,1055,534,568,344,1688,497,375,186,832
20,2019-01-21,780,455,151,267,1044,488,580,355,1688,480,350,197,796
21,2019-01-22,699,435,158,250,1031,493,600,326,1668,470,338,184,790
22,2019-01-23,685,442,134,249,1033,467,482,310,1532,453,315,227,693
23,2019-01-24,759,4246,157,245,1073,617,488,337,1661,449,307,215,777
24,2019-01-25,651,6006,147,264,1057,667,621,369,1612,398,331,207,775
25,2019-01-26,604,7348,156,255,1049,553,551,332,1581,401,298,175,743
26,2019-01-27,593,5663,139,239,1158,444,524,334,1461,381,303,169,588
27,2019-01-28,605,2722,141,236,1065,415,520,310,1461,378,299,176,594
28,2019-01-29,556,427,146,243,1076,429,926,313,1423,367,313,184,566
29,2019-01-30,552,428,152,249,1072,409,594,310,1400,376,324,178,539
30,2019-01-31,522,395,141,239,1069,372,540,290,1401,381,344,184,567
31,2019-02-01,511,326,144,237,1044,367,546,278,1391,407,314,191,522
32,2019-02-02,561,360,147,213,1044,372,528,325,1374,369,301,301,593
33,2019-02-03,567,296,142,232,1028,346,513,307,1394,369,295,248,612
34,2019-02-04,603,290,142,225,1007,381,570,282,1446,369,306,220,724
35,2019-02-05,530,299,121,234,995,379,505,286,1488,429,301,197,760
36,2019-02-06,528,279,129,225,903,361,447,278,1406,745,277,156,607
37,2019-02-07,650,286,136,236,1000,418,471,281,1514,777,308,151,696
38,2019-02-08,635,271,145,247,1010,412,509,275,1659,614,311,188,685
39,2019-02-09,496,238,48,207,777,297,395,214,1445,394,263,190,1015
40,2019-02-10,697,289,144,235,962,434,970,278,1644,546,299,201,1024
41,2019-02-11,670,290,140,212,957,456,782,295,1623,546,311,214,803
42,2019-02-12,687,305,115,205,949,491,650,294,1597,638,289,225,729
43,2019-02-13,696,318,129,210,1077,447,555,329,1592,548,294,204,639
44,2019-02-14,723,368,143,208,1091,459,782,288,1623,534,330,202,636
45,2019-02-15,748,425,140,213,1082,467,570,271,1674,499,293,208,671
46,2019-02-16,745,339,139,197,1116,517,613,298,1702,459,313,198,635
47,2019-02-17,739,374,147,191,1111,513,513,266,1637,470,268,201,646
48,2019-02-18,715,372,148,182,1129,543,460,274,1590,479,289,180,617
49,2019-02-19,710,330,138,172,1036,533,480,271,1615,500,290,167,659
50,2019-02-20,624,321,140,160,1029,524,458,294,1586,472,295,169,752
51,2019-02-21,549,325,139,184,1045,512,445,288,1482,447,271,141,580
52,2019-02-22,489,307,135,174,990,430,430,287,1333,339,269,165,494
53,2019-02-23,490,336,137,174,1093,409,394,265,1350,420,277,155,446
