,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
0,2023-04-01,535,344,137,193,800,306,363,282,2962,468,236,258,642
1,2023-04-02,556,368,134,185,934,336,395,263,2706,512,286,261,676
2,2023-04-03,632,411,139,206,1098,408,472,377,3242,777,328,281,786
3,2023-04-04,683,443,153,191,1069,393,487,363,2863,715,262,278,787
4,2023-04-05,605,397,133,183,943,346,376,263,2490,491,246,228,640
5,2023-04-06,706,448,177,198,1074,393,466,367,3008,816,266,258,860
6,2023-04-07,790,393,147,219,1114,370,443,351,2754,688,258,265,768
7,2023-04-08,629,364,0,180,1241,325,436,279,2277,536,219,221,637
8,2023-04-09,616,356,73,184,1070,310,427,283,2257,487,223,247,624
9,2023-04-10,785,479,162,204,1337,405,493,389,3158,712,283,228,803
10,2023-04-11,838,406,152,208,1143,473,522,376,2965,717,293,242,853
11,2023-04-12,753,457,152,198,1142,419,480,394,2821,802,273,280,862
12,2023-04-13,776,397,137,202,1106,416,535,450,2684,1370,263,398,832
13,2023-04-14,744,457,159,208,1057,433,478,386,2910,941,250,311,800
14,2023-04-15,634,328,134,179,943,339,414,312,2527,520,235,256,553
15,2023-04-16,826,337,65,173,965,352,480,273,2349,553,250,238,631
16,2023-04-17,897,351,165,201,1128,391,542,389,2898,828,280,284,786
17,2023-04-18,919,310,156,197,1052,352,484,394,2922,769,291,259,855
18,2023-04-19,956,343,138,178,1174,432,474,400,2683,797,272,265,818
19,2023-04-20,887,388,159,183,1104,427,432,416,3292,854,278,244,864
20,2023-04-21,887,412,159,193,1056,329,439,365,2897,761,294,208,743
21,2023-04-22,869,396,0,169,989,332,425,276,2454,605,220,196,605
22,2023-04-23,675,438,140,168,1033,411,446,354,2694,701,270,208,770
23,2023-04-24,727,397,152,194,1125,407,469,388,2685,703,267,214,770
24,2023-04-25,702,542,156,185,1069,422,463,378,2662,770,273,281,845
25,2023-04-26,781,537,167,164,1034,365,460,369,2576,705,234,231,756
26,2023-04-27,671,457,129,180,1061,393,441,388,2699,726,246,203,783
27,2023-04-28,567,389,139,93,1010,342,375,314,2584,631,243,199,665
28,2023-04-29,1056,531,91,219,1026,348,505,369,4147,695,278,205,903
29,2023-04-30,660,353,0,176,762,230,311,223,2199,529,193,165,514
30,2023-05-01,528,362,66,168,760,278,288,243,2245,460,198,452,455
31,2023-05-02,855,339,0,168,830,271,306,273,2337,498,229,557,469
32,2023-05-03,791,390,66,156,949,298,332,285,2659,519,215,353,607
33,2023-05-04,1019,439,146,176,1096,382,428,415,2940,748,286,378,760
34,2023-05-05,787,436,141,191,1120,385,450,373,2823,734,293,288,762
35,2023-05-06,640,406,130,176,1058,317,476,338,2616,672,266,257,737
36,2023-05-07,542,329,63,99,1008,352,382,295,2299,549,221,234,576
37,2023-05-08,954,421,135,244,1158,383,508,384,2739,692,247,290,808
38,2023-05-09,801,399,135,286,1108,387,502,385,2717,916,259,298,765
39,2023-05-10,709,413,144,222,1082,359,476,381,2924,804,281,303,772
40,2023-05-11,593,384,138,212,1062,351,492,416,2578,801,275,291,786
41,2023-05-12,644,362,155,220,1277,326,502,371,2477,745,280,278,719
42,2023-05-13,815,331,150,184,990,319,440,281,2136,514,238,206,610
43,2023-05-14,635,326,140,195,1055,303,366,263,2278,488,217,202,626
44,2023-05-15,986,379,150,178,1127,357,474,367,3070,717,269,258,803
45,2023-05-16,648,415,161,220,1087,414,500,375,2628,731,269,245,820
46,2023-05-17,646,370,136,204,1079,392,506,364,2625,743,250,282,786
47,2023-05-18,814,383,157,191,1104,447,499,350,2417,723,279,232,787
48,2023-05-19,686,343,126,194,1051,403,477,340,2758,623,266,216,682
49,2023-05-20,551,326,73,164,951,285,377,225,2473,411,209,177,610
50,2023-05-21,750,338,126,165,946,313,384,266,2287,496,221,199,591
51,2023-05-22,865,384,142,176,1045,343,434,320,2573,575,227,215,685
52,2023-05-23,943,365,154,173,932,366,450,328,2530,539,229,220,700
53,2023-05-24,944,403,138,190,1056,464,535,374,2392,673,263,253,793
54,2023-05-25,844,423,146,170,2249,422,566,368,2558,721,255,299,753
55,2023-05-26,897,388,132,174,996,350,472,332,2455,678,252,279,688
56,2023-05-27,609,330,73,161,974,318,428,257,2125,482,213,211,618
57,2023-05-28,754,387,128,135,988,324,458,257,2146,475,229,221,642
58,2023-05-29,827,386,164,165,1115,372,510,350,2606,685,284,261,766
59,2023-05-30,787,408,143,167,1081,393,584,352,2505,713,279,277,736
60,2023-05-31,1022,406,152,180,1005,402,610,327,2555,666,243,294,710
61,2023-06-01,451,442,139,163,1009,343,467,326,2822,654,248,260,698
62,2023-06-02,881,392,139,166,1433,386,451,331,2858,698,249,224,747
63,2023-06-03,544,390,129,150,2077,335,407,253,2351,447,231,186,611
64,2023-06-04,844,340,76,146,2554,315,385,271,2401,468,202,216,631
65,2023-06-05,839,423,136,168,2451,389,486,360,3007,715,281,272,788
66,2023-06-06,988,382,164,160,2409,370,537,350,2906,715,284,238,832
67,2023-06-07,740,391,149,170,2302,389,435,387,2728,1169,284,290,871
68,2023-06-08,883,480,158,162,2177,444,490,361,3004,1028,280,260,813
69,2023-06-09,654,384,159,157,2402,382,443,348,3119,816,275,217,807
70,2023-06-10,684,365,126,148,2552,305,420,258,2624,554,222,191,635
71,2023-06-11,818,344,79,141,2311,318,380,255,2485,523,217,217,594
72,2023-06-12,559,414,137,200,3050,391,439,333,3255,816,292,249,885
73,2023-06-13,594,413,144,168,2706,405,455,383,3165,835,273,269,887
74,2023-06-14,698,422,172,143,2378,444,464,339,3128,771,262,242,942
