,date,交通运输,交通工具,交通,封城,上海封城,破产,海运,出口,货运,经济衰退
0,2022-01-01,283,427,982,625,134,380,314,356,257,228
1,2022-01-02,282,483,1041,706,76,438,308,364,248,215
2,2022-01-03,311,509,1060,1030,78,415,270,428,262,219
3,2022-01-04,415,543,1162,1005,147,564,401,498,326,267
4,2022-01-05,389,539,1201,1107,146,513,389,514,303,171
5,2022-01-06,365,516,1139,966,139,495,358,559,367,168
6,2022-01-07,351,488,1355,790,130,478,417,543,300,146
7,2022-01-08,299,451,1027,826,91,438,263,381,305,178
8,2022-01-09,288,485,999,1065,157,434,246,416,247,186
9,2022-01-10,370,511,1065,900,159,478,373,536,269,154
10,2022-01-11,356,528,1125,883,167,458,326,534,335,138
11,2022-01-12,351,491,1087,930,150,448,282,436,372,167
12,2022-01-13,358,558,1221,812,217,476,306,519,282,159
13,2022-01-14,354,563,1161,701,297,470,310,519,308,140
14,2022-01-15,265,440,1037,567,251,416,249,383,297,160
15,2022-01-16,290,466,1034,459,263,395,273,342,249,155
16,2022-01-17,399,559,1193,493,189,448,462,507,320,156
17,2022-01-18,415,556,1208,409,153,533,337,532,303,150
18,2022-01-19,419,571,1192,635,201,461,320,481,287,132
19,2022-01-20,339,587,1162,499,161,496,282,475,316,132
20,2022-01-21,359,631,1178,323,137,502,282,508,318,142
21,2022-01-22,261,514,1037,304,127,551,256,412,272,136
22,2022-01-23,296,491,998,385,65,456,252,386,273,136
23,2022-01-24,357,591,1148,538,134,505,374,463,295,141
24,2022-01-25,327,551,1184,362,74,447,257,657,413,152
25,2022-01-26,308,951,1296,466,124,420,280,506,398,134
26,2022-01-27,342,580,1276,541,0,496,278,490,369,135
27,2022-01-28,308,965,1462,912,61,461,263,581,557,135
28,2022-01-29,290,431,1390,456,67,431,268,545,510,146
29,2022-01-30,249,537,1211,300,67,390,231,439,402,73
30,2022-01-31,200,313,1046,250,74,331,188,299,354,74
31,2022-02-01,229,303,1035,243,63,335,182,378,469,59
32,2022-02-02,244,345,1013,227,0,338,236,321,752,132
33,2022-02-03,246,387,1049,234,126,379,250,334,655,126
34,2022-02-04,250,374,1052,381,0,389,239,324,523,138
35,2022-02-05,273,431,1095,375,0,342,252,402,321,132
36,2022-02-06,272,443,1185,436,61,393,260,431,313,140
37,2022-02-07,350,635,1337,1030,0,441,329,635,421,138
38,2022-02-08,395,539,1334,594,0,473,370,571,446,145
39,2022-02-09,417,572,1476,425,0,481,353,589,352,147
40,2022-02-10,409,604,1498,395,122,514,363,776,380,150
41,2022-02-11,414,607,1622,385,131,499,421,579,389,153
42,2022-02-12,328,623,1241,382,122,422,320,548,334,139
43,2022-02-13,328,662,1237,341,61,394,299,410,347,144
44,2022-02-14,475,660,1577,426,66,546,402,611,589,167
45,2022-02-15,400,711,1696,432,128,490,379,624,471,148
46,2022-02-16,478,695,1681,528,63,517,423,568,456,144
47,2022-02-17,436,880,1799,435,66,540,395,667,385,157
48,2022-02-18,443,719,1465,380,0,533,431,613,415,150
49,2022-02-19,349,622,1373,367,0,391,283,579,379,146
50,2022-02-20,356,753,1585,404,0,436,313,463,304,148
51,2022-02-21,569,789,1838,379,0,539,396,708,372,149
52,2022-02-22,568,846,1791,323,0,543,397,714,364,161
53,2022-02-23,561,773,1698,343,0,555,377,687,364,180
54,2022-02-24,504,775,1772,689,0,514,435,809,346,155
55,2022-02-25,451,641,1366,459,59,491,333,650,362,152
56,2022-02-26,394,627,1334,244,0,409,318,638,332,144
57,2022-02-27,390,881,1435,251,0,408,310,443,324,153
58,2022-02-28,563,878,1847,316,0,475,504,736,345,192
59,2022-03-01,540,759,1858,382,143,536,454,699,408,156
60,2022-03-02,500,787,1766,332,149,579,442,747,422,165
61,2022-03-03,499,781,1705,322,173,548,414,657,371,165
62,2022-03-04,511,662,1459,479,231,493,353,656,325,157
63,2022-03-05,389,1089,1343,393,188,444,269,449,293,157
64,2022-03-06,377,790,1366,416,220,456,305,464,294,161
65,2022-03-07,533,800,1606,415,296,597,457,736,328,219
66,2022-03-08,473,1001,1570,649,453,533,434,764,323,276
67,2022-03-09,508,781,1612,1107,516,539,467,677,380,274
68,2022-03-10,511,777,1550,1078,2018,485,496,634,367,206
69,2022-03-11,495,814,1324,1824,23515,508,416,580,342,187
