,Unnamed: 0,date,交通运输,交通工具,交通,上海封城,上海封控,封城,破产,海运,出口,货运,经济衰退,物流,快递,上海物流,上海快递,空调,上海空调
0,0,2021-10-01,266,525,1077,59,0,180,450,319,418,263,145,1736,23290,168,63,3505,61
1,1,2021-10-02,260,440,1029,59,0,168,555,310,427,261,74,1914,22029,106,61,25534,0
2,2,2021-10-03,282,490,1046,0,0,354,581,320,376,186,130,2001,21029,87,120,30474,0
3,3,2021-10-04,252,535,1060,0,0,219,636,367,373,271,154,1959,22398,155,67,9790,0
4,4,2021-10-05,284,616,1038,0,0,210,511,474,446,273,139,1985,23272,167,67,9667,0
5,5,2021-10-06,308,630,1098,61,0,203,520,388,412,266,150,2017,22775,175,69,9075,0
6,6,2021-10-07,310,784,1117,0,0,196,511,404,418,271,173,2113,23527,162,0,15306,0
7,7,2021-10-08,407,637,1317,0,0,166,601,550,504,273,154,2576,25898,176,63,13922,0
8,8,2021-10-09,358,633,1163,0,0,179,585,457,500,295,174,2495,26875,200,65,9923,0
9,9,2021-10-10,324,631,1102,0,0,170,542,354,410,249,168,2126,24884,163,61,3285,0
10,10,2021-10-11,390,671,1181,0,0,184,542,459,542,272,159,2695,27887,196,131,3507,0
11,11,2021-10-12,418,647,1104,0,0,163,793,428,552,278,200,2607,28612,176,65,18207,0
12,12,2021-10-13,447,643,1154,0,0,177,606,473,645,284,178,2585,28994,176,76,4625,0
13,13,2021-10-14,457,619,1255,0,0,193,571,548,544,278,185,2737,30517,163,0,13091,59
14,14,2021-10-15,433,578,1198,0,0,206,521,527,510,272,180,2447,30584,213,74,23616,0
15,15,2021-10-16,313,591,1067,0,0,165,509,439,442,264,174,2201,27066,117,70,35611,0
16,16,2021-10-17,354,648,1053,0,0,192,435,373,396,247,160,2048,26515,155,63,24323,0
17,17,2021-10-18,434,738,1141,63,0,208,540,496,562,329,176,2808,29485,158,124,4179,0
18,18,2021-10-19,410,652,1156,65,0,223,536,498,555,277,193,2783,29603,148,134,3453,0
19,19,2021-10-20,392,667,1121,66,0,279,526,450,533,290,197,2661,29864,154,71,20976,61
20,20,2021-10-21,423,673,1175,65,0,332,551,417,539,291,172,2941,44155,174,140,13140,0
21,21,2021-10-22,380,672,1189,133,0,307,469,458,527,297,152,2607,33253,184,147,7246,0
22,22,2021-10-23,294,567,1003,61,0,439,427,360,395,243,155,2315,28752,162,80,8288,61
23,23,2021-10-24,314,631,1076,124,0,520,473,291,460,248,182,2206,27660,92,147,28271,0
24,24,2021-10-25,416,735,1081,0,0,423,512,510,594,299,176,2812,29253,188,78,20517,0
25,25,2021-10-26,446,723,1118,0,0,355,563,430,636,292,184,2674,29138,153,134,33251,0
26,26,2021-10-27,419,716,1075,0,0,369,493,446,576,280,176,2664,29696,199,144,44441,0
27,27,2021-10-28,452,698,1063,59,0,565,524,485,544,279,184,2856,28976,159,69,45040,59
28,28,2021-10-29,405,543,1183,67,0,429,623,407,530,291,165,2680,27871,167,79,45209,0
29,29,2021-10-30,359,530,1026,0,0,410,496,322,439,258,159,2186,24291,156,133,46388,0
30,30,2021-10-31,329,613,1005,139,0,385,494,299,370,241,159,2078,23445,141,79,67262,0
31,31,2021-11-01,412,771,1160,180,0,362,589,497,481,309,156,2753,27208,153,170,51408,0
32,32,2021-11-02,420,784,1142,168,0,388,591,423,537,285,166,2798,29475,161,171,51484,0
33,33,2021-11-03,389,723,1092,154,0,664,509,414,588,278,210,2911,33298,161,178,48842,0
34,34,2021-11-04,415,722,1087,141,0,637,527,469,568,283,198,2983,37917,157,187,45573,66
35,35,2021-11-05,371,667,1095,65,0,429,506,403,509,272,161,3139,40191,156,199,51542,63
36,36,2021-11-06,339,569,1039,66,0,372,474,304,428,233,158,2444,39518,165,186,76809,0
37,37,2021-11-07,329,645,1030,0,0,335,428,288,449,239,163,2308,36982,80,102,83120,0
38,38,2021-11-08,360,735,1085,63,0,362,510,354,583,279,174,2902,40149,161,178,61922,63
39,39,2021-11-09,422,714,1263,59,0,354,900,370,580,288,182,2961,38843,167,175,57092,59
40,40,2021-11-10,414,709,1133,0,0,304,1557,441,546,289,205,2854,38295,159,176,56028,0
41,41,2021-11-11,400,707,1085,65,0,293,1116,376,515,308,172,3101,38408,143,189,56489,59
42,42,2021-11-12,396,650,1065,63,0,313,719,474,562,323,150,2992,38873,198,174,51470,59
43,43,2021-11-13,328,589,994,0,0,484,723,335,392,289,165,2559,38567,189,87,71560,59
44,44,2021-11-14,352,653,1059,0,0,353,617,276,387,269,153,2613,39536,95,157,69419,67
45,45,2021-11-15,437,825,1150,0,0,321,697,451,611,304,175,3164,43056,151,180,48067,0
46,46,2021-11-16,471,831,1177,0,0,250,731,425,548,318,176,3060,41024,142,157,51871,0
47,47,2021-11-17,426,789,1157,0,0,244,581,403,558,320,165,2987,39907,148,144,52209,59
48,48,2021-11-18,437,817,1111,0,0,223,577,462,631,326,182,2902,39455,167,147,51963,0
49,49,2021-11-19,401,612,1076,0,0,180,561,447,511,307,186,2836,38571,160,153,54694,0
50,50,2021-11-20,376,549,1022,0,0,228,499,331,449,258,182,2461,33964,128,78,78177,65
51,51,2021-11-21,342,693,1042,61,0,208,507,313,400,260,171,2474,32169,97,149,53542,0
